Product,SKU,Past Items sold,Past Revenue,Past Orders,Past Status,Past Stock,Past Status enc,Predicted items sold 2024,Conversion rate,Predicted orders 2024,Price,Predicted revenue 2024,Predicted Inventory
HEART APPLICATOR SPONGE - BLACK,00385,17,678.3,16,Out of stock,0,1,17,0.9411764705882352,18,42.39375,720,18
PRESSED POWDER PALETTE - RED VELVET,00615,17,848.3,17,In stock,33,0,18,1.0,18,49.9,898,18
PRESSED POWDER PALETTE - TANGERINE,00616,15,748.5,14,In stock,35,0,14,0.9333333333333332,15,53.464285714285715,748,16
COMPACT POWDER &amp; CUSHION FOUNDATION - M30,00519,14,978.6,10,Out of stock,0,1,12,0.7142857142857143,16,97.86,1174,15
ALHA ALFA FOGGY LIPS - MERLIN,00591,13,179.4,13,In stock,18,0,14,1.0,14,13.8,193,13
ALHA ALFA FACE BRUSH - BRUSH F01,00345,13,780.0,13,In stock,46,0,16,1.0,16,60.0,960,13
SATIN STAY SPF30 &amp; COMPACT POWDER - CP40,00543,13,598.8,13,In stock,18,0,11,1.0,11,46.06153846153846,506,13
ALHA ALFA BE YOU GLOW FOUNDATION - G50 WARM NATURAL,00528,12,538.8,11,Out of stock,0,1,14,0.9166666666666666,15,48.98181818181818,685,12
ALHA ALFA CHEEKY MATTE POWDER BLUSH - BL03,00550,12,598.8,12,In stock,40,0,14,1.0,14,49.9,698,12
ALHA ALFA CHEEKY MATTE POWDER BLUSH - BL01,00548,11,548.9,11,In stock,47,0,13,1.0,13,49.9,648,11
SUPER STAY FIXING POWDER - MINI - BROWN,00585,9,119.7,9,In stock,94,0,5,1.0,5,13.3,66,9
COMPACT POWDER &amp; CUSHION FOUNDATION - M20,00518,9,629.1,9,Out of stock,0,1,10,1.0,10,69.9,699,9
ALHA ALFA CHEEKY MATTE POWDER BLUSH - BL05,00552,8,399.2,8,In stock,46,0,9,1.0,9,49.9,449,8
ROYAL PROPOLIS FOUNDATION SPF 45 - NATURAL TAN,00583,8,419.4,7,In stock,22,0,5,0.875,5,59.91428571428571,299,8
ALHA ALFA BE YOU GLOW FOUNDATION - G60 NATURAL TAN,00529,8,359.2,7,Out of stock,0,1,8,0.875,9,51.31428571428571,410,8
ALHA ALFA CHEEKY MATTE POWDER BLUSH - BL04,00551,8,399.2,8,In stock,45,0,9,1.0,9,49.9,449,8
COMPACT POWDER &amp; CUSHION FOUNDATION - M10,00517,7,489.3,7,Out of stock,0,1,7,1.0,7,69.9,489,7
SATIN STAY SPF30 &amp; COMPACT POWDER - CP70,00546,7,349.3,7,In stock,68,0,4,1.0,4,49.9,199,7
ROYAL PROPOLIS FOUNDATION - AURI,82777,7,349.3,7,Out of stock,0,1,5,1.0,5,49.9,249,7
HEART APPLICATOR SPONGE - PEACH,00385b,7,279.3,7,In stock,94,0,6,1.0,6,39.9,239,7
ALHA ALFA FOGGY LIPS - CHERRY,00588,7,209.3,6,In stock,13,0,6,0.8571428571428571,7,34.88333333333333,209,7
ALHA ALFA CHEEKY MATTE POWDER BLUSH - BL02,00549,6,299.4,5,In stock,46,0,6,0.8333333333333334,7,59.879999999999995,359,6
HEART APPLICATOR SPONGE - NUDE,00385a,6,239.4,6,In stock,96,0,5,1.0,5,39.9,199,6
SATIN STAY SPF30 &amp; COMPACT POWDER - CP30,00542,6,299.4,5,In stock,24,0,1,0.8333333333333334,1,59.879999999999995,59,6
ALHA ALFA LASHES PREMIUM COLLECTION - Code 007,00324,5,60.0,4,In stock,993,0,3,0.8,3,15.0,45,4
ALHA ALFA SUNSCREEN &amp; FOUNDATION - MEDIUM,00507,5,249.5,5,Out of stock,0,1,4,1.0,4,49.9,199,5
GLOW SKIN TINTED HIDRATOR - DARK,00450,5,0.0,4,Out of stock,0,1,2,0.8,2,0.0,0,5
SATIN STAY SPF30 &amp; COMPACT POWDER - CP20,00541,5,249.5,5,In stock,9,0,1,1.0,1,49.9,49,5
ROYAL PROPOLIS LUMINOUS SILK FOUNDATION SPF35 - RPF70 MORRI,00575,5,299.5,5,In stock,15,0,2,1.0,2,59.9,119,5
ALHA ALFA SUNSCREEN &amp; FOUNDATION - TAN,00508,5,249.5,5,Out of stock,0,1,4,1.0,4,49.9,199,5
ALHA ALFA CHEEKY MATTE POWDER BLUSH - BL08,00554,5,249.5,5,In stock,49,0,5,1.0,5,49.9,249,5
SATIN STAY SPF30 &amp; COMPACT POWDER - CP50,00544,4,149.7,4,In stock,12,0,0,1.0,0,37.425,0,4
ALHA ALFA BE YOU MATTE FOUNDATION - M50 WARM NATURAL,00536,4,179.6,4,In stock,16,0,4,1.0,4,44.9,179,4
ROYAL PROPOLIS FOUNDATION - SALVIA,9551012110078,4,199.6,4,Out of stock,0,1,1,1.0,1,49.9,49,4
FACIAL CLEANSER &amp; MAKEUP REMOVER - NORMAL TO DRY,00408,3,149.7,3,Out of stock,0,1,1,1.0,1,49.9,49,2
ALHA ALFA CHEEKY MATTE POWDER BLUSH - BL06,00553,3,149.7,3,In stock,49,0,3,1.0,3,49.9,149,2
ALHA ALFA LASHES PREMIUM COLLECTION - Code 009,00326,3,36.0,3,In stock,997,0,1,1.0,1,12.0,12,1
ROYAL PROPOLIS FOUNDATION - FERVI,82777,3,149.7,3,Out of stock,0,1,0,1.0,0,49.9,0,2
ALHA ALFA BE YOU MATTE FOUNDATION - M20 LIGHT,00533,2,89.8,2,In stock,5,0,2,1.0,2,44.9,89,1
COMPACT POWDER &amp; CUSHION FOUNDATION - M50,00521,2,139.8,2,Out of stock,0,1,0,1.0,0,69.9,0,1
ALHA ALFA FACE BRUSH - BRUSH F05,00344,2,150.0,2,In stock,67,0,1,1.0,1,75.0,75,1
SATIN STAY SPF30 &amp; COMPACT POWDER - CP10,00540,2,99.8,2,In stock,9,0,-2,1.0,-2,49.9,-99,1
ALHA ALFA BE YOU MATTE FOUNDATION - M60 NATURAL TAN,00537,2,89.8,2,In stock,50,0,2,1.0,2,44.9,89,1
POCKET CAMOUFLAGE CREAM - AAP40,00562,2,99.8,2,Out of stock,0,1,0,1.0,0,49.9,0,1
